iter	Passed	Remaining
0	83	25031
1	165	24674
2	246	24393
3	327	24217
4	409	24135
5	489	23971
6	575	24080
7	659	24087
8	740	23939
9	822	23844
10	908	23860
11	997	23947
12	1082	23901
13	1164	23799
14	1250	23754
15	1343	23847
16	1441	23991
17	1532	24015
18	1622	23992
19	1710	23949
20	1797	23878
21	1891	23898
22	1980	23848
23	2073	23848
24	2157	23731
25	2238	23586
26	2318	23445
27	2404	23353
28	2491	23285
29	2584	23260
30	2672	23186
31	2763	23147
32	2856	23110
33	2944	23034
34	3036	22990
35	3123	22904
36	3216	22864
37	3306	22796
38	3387	22671
39	3471	22562
40	3556	22467
41	3637	22343
42	3722	22245
43	3803	22130
44	3883	22008
45	3964	21893
46	4049	21798
47	4136	21718
48	4223	21637
49	4306	21533
50	4397	21469
51	4486	21397
52	4575	21323
53	4658	21221
54	4756	21186
55	4838	21082
56	4921	20981
57	5012	20912
58	5101	20837
59	5255	21023
60	5361	21007
61	5464	20976
62	5566	20942
63	5671	20911
64	5776	20882
65	5874	20826
66	5975	20782
67	6084	20757
68	6178	20684
69	6266	20590
70	6359	20511
71	6448	20420
72	6531	20311
73	6614	20199
74	6694	20084
75	6779	19981
76	6860	19869
77	6945	19768
78	7049	19719
79	7181	19749
80	7290	19710
81	7399	19670
82	7488	19577
83	7583	19501
84	7673	19408
85	7756	19301
86	7844	19205
87	7931	19106
88	8018	19010
89	8103	18909
90	8186	18801
91	8286	18734
92	8399	18694
93	8487	18601
94	8586	18527
95	8671	18426
96	8760	18334
97	8850	18243
98	8938	18147
99	9022	18044
100	9109	17947
101	9197	17854
102	9281	17751
103	9382	17682
104	9501	17646
105	9612	17593
106	9712	17519
107	9808	17437
108	9905	17356
109	9996	17266
110	10089	17179
111	10176	17081
112	10275	17005
113	10380	16936
114	10497	16887
115	10597	16809
116	10694	16726
117	10813	16678
118	10920	16609
119	11023	16534
120	11129	16464
121	11224	16376
122	11319	16289
123	11417	16205
124	11507	16110
125	11604	16025
126	11704	15943
127	11805	15863
128	11900	15775
129	11990	15680
130	12076	15580
131	12166	15484
132	12259	15393
133	12346	15295
134	12429	15192
135	12517	15094
136	12599	14990
137	12680	14885
138	12761	14781
139	12843	14677
140	12926	14576
141	13009	14474
142	13091	14372
143	13179	14277
144	13275	14191
145	13373	14106
146	13461	14011
147	13549	13915
148	13646	13829
149	13736	13736
150	13822	13639
151	13925	13558
152	14051	13500
153	14157	13422
154	14259	13339
155	14364	13259
156	14467	13177
157	14572	13096
158	14659	12999
159	14749	12905
160	14833	12806
161	14916	12706
162	15002	12609
163	15084	12508
164	15167	12409
165	15253	12313
166	15338	12215
167	15421	12116
168	15503	12017
169	15587	11919
170	15667	11819
171	15750	11721
172	15838	11627
173	15919	11528
174	16005	11432
175	16086	11333
176	16168	11235
177	16248	11136
178	16330	11039
179	16427	10951
180	16530	10867
181	16612	10770
182	16693	10673
183	16776	10576
184	16859	10479
185	16944	10385
186	17027	10289
187	17113	10195
188	17207	10105
189	17292	10011
190	17377	9916
191	17464	9823
192	17553	9731
193	17643	9640
194	17737	9550
195	17829	9460
196	17937	9378
197	18061	9304
198	18167	9220
199	18256	9128
200	18349	9037
201	18452	8952
202	18549	8863
203	18673	8787
204	18763	8695
205	18846	8599
206	18930	8504
207	19013	8409
208	19098	8315
209	19182	8221
210	19265	8126
211	19352	8033
212	19442	7941
213	19526	7847
214	19612	7753
215	19695	7659
216	19776	7564
217	19861	7470
218	19943	7376
219	20027	7282
220	20109	7188
221	20191	7094
222	20274	7000
223	20359	6907
224	20445	6815
225	20529	6721
226	20611	6628
227	20695	6535
228	20783	6443
229	20867	6351
230	20949	6257
231	21030	6164
232	21114	6071
233	21198	5979
234	21280	5886
235	21362	5793
236	21442	5700
237	21524	5607
238	21609	5515
239	21692	5423
240	21778	5331
241	21863	5239
242	21955	5150
243	22052	5061
244	22141	4970
245	22231	4880
246	22322	4789
247	22404	4697
248	22486	4605
249	22571	4514
250	22655	4422
251	22736	4330
252	22819	4239
253	22903	4147
254	22984	4056
255	23064	3964
256	23145	3872
257	23225	3780
258	23307	3689
259	23388	3598
260	23471	3507
261	23553	3416
262	23636	3325
263	23719	3234
264	23802	3143
265	23883	3052
266	23965	2962
267	24048	2871
268	24127	2780
269	24211	2690
270	24292	2599
271	24374	2509
272	24456	2418
273	24537	2328
274	24620	2238
275	24704	2148
276	24788	2058
277	24885	1969
278	24968	1879
279	25054	1789
280	25134	1699
281	25214	1609
282	25296	1519
283	25379	1429
284	25463	1340
285	25546	1250
286	25630	1160
287	25714	1071
288	25795	981
289	25877	892
290	25959	802
291	26045	713
292	26127	624
293	26217	535
294	26297	445
295	26378	356
296	26462	267
297	26542	178
298	26628	89
299	26710	0
